id,AspectTerms,A_start,A_end,OpinionTerms,O_start,O_end,Categories,Polarities,text
1,_, , ,还不错,6,9,整体,积极,支架按好了，还不错的
2,_, , ,还可以,0,3,整体,中性,还可以不错。正使用中。
2,_, , ,不错,3,5,整体,积极,还可以不错。正使用中。
3,_, , ,不错,7,9,整体,积极,收到货了，感觉不错
4,_, , ,挺好,21,23,整体,积极,用着不错，，就是有时候信号有些不好，其他都挺好
4,_, , ,不错,2,4,使用体验,积极,用着不错，，就是有时候信号有些不好，其他都挺好
4,信号,11,13,有些不好,13,17,性能,消极,用着不错，，就是有时候信号有些不好，其他都挺好
5,_, , ,挺好用,15,18,使用体验,积极,东西收到了，谢谢送的五件礼物，挺好用的，相机像素不错，很清晰，客户很耐心，点赞
5,_, , ,点赞,37,39,整体,积极,东西收到了，谢谢送的五件礼物，挺好用的，相机像素不错，很清晰，客户很耐心，点赞
5,像素,22,24,不错,24,26,拍摄,积极,东西收到了，谢谢送的五件礼物，挺好用的，相机像素不错，很清晰，客户很耐心，点赞
5,_, , ,很清晰,27,30,拍摄,积极,东西收到了，谢谢送的五件礼物，挺好用的，相机像素不错，很清晰，客户很耐心，点赞
6,_, , ,很好,2,4,整体,积极,东东很好，拍照片很快，连手机很快，正在使用中，嗯，照片挺清楚
7,_, , ,非常好,0,3,整体,积极,非常好，高清晰，360度全方位！简直是太给力了
7,_, , ,高清晰,4,7,拍摄,积极,非常好，高清晰，360度全方位！简直是太给力了
7,_, , ,太给力,19,22,整体,积极,非常好，高清晰，360度全方位！简直是太给力了
8,全景,9,11,超赞,11,13,拍摄,积极,问正品原装的。这个全景超赞的，店家服务态度也特别好，还送了礼品，已经推荐同事购买了！
8,店家服务态度,15,21,特别好,22,25,物流,积极,问正品原装的。这个全景超赞的，店家服务态度也特别好，还送了礼品，已经推荐同事购买了！
9,_, , ,很喜欢,0,3,整体,积极,很喜欢这个相机新奇的视角拍摄简单一键全景值得购买哈哈哈最近也一直在~给朋友！
9,拍摄,12,14,简单,14,16,拍摄,积极,很喜欢这个相机新奇的视角拍摄简单一键全景值得购买哈哈哈最近也一直在~给朋友！
10,_, , ,特别满意,33,37,整体,积极,主要店家的态度太好了，机器也好使，有问题店家神一样速度的处理方案，特别满意，给的赠品也特别好用，值得推荐！售后一点都不用担心，真省心！正品行货！
10,_, , ,好使,14,16,使用体验,积极,主要店家的态度太好了，机器也好使，有问题店家神一样速度的处理方案，特别满意，给的赠品也特别好用，值得推荐！售后一点都不用担心，真省心！正品行货！
